"Kategoria";"Kod";"Nazwa";"Zmienna";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
"Gospodarstwa";0200000;"DOLNOŚLĄSKIE";"gospodarstwa domowe objęte badaniem";"2018";2859;"gosp.";"";
"Gospodarstwa";0200000;"DOLNOŚLĄSKIE";"gospodarstwa domowe objęte badaniem";"2019";2886;"gosp.";"";
"Gospodarstwa";0200000;"DOLNOŚLĄSKIE";"gospodarstwa domowe objęte badaniem";"2020";2760;"gosp.";"";
"Gospodarstwa";0400000;"KUJAWSKO-POMORSKIE";"gospodarstwa domowe objęte badaniem";"1999";1728;"gosp.";"";
"Gospodarstwa";0400000;"KUJAWSKO-POMORSKIE";"gospodarstwa domowe objęte badaniem";"2000";2057;"gosp.";"";
"Gospodarstwa";0400000;"KUJAWSKO-POMORSKIE";"gospodarstwa domowe objęte badaniem";"2001";1727;"gosp.";"";
"Gospodarstwa";0400000;"KUJAWSKO-POMORSKIE";"gospodarstwa domowe objęte badaniem";"2002";1751;"gosp.";"";
"Gospodarstwa";0400000;"KUJAWSKO-POMORSKIE";"gospodarstwa domowe objęte badaniem";"2003";1754;"gosp.";"";
"Gospodarstwa";0400000;"KUJAWSKO-POMORSKIE";"gospodarstwa domowe objęte badaniem";"2004";1695;"gosp.";"";
"Gospodarstwa";0400000;"KUJAWSKO-POMORSKIE";"gospodarstwa domowe objęte badaniem";"2005";1834;"gosp.";"";
"Gospodarstwa";0400000;"KUJAWSKO-POMORSKIE";"gospodarstwa domowe objęte badaniem";"2006";1984;"gosp.";"";
"Gospodarstwa";0400000;"KUJAWSKO-POMORSKIE";"gospodarstwa domowe objęte badaniem";"2007";1933;"gosp.";"";
"Gospodarstwa";0400000;"KUJAWSKO-POMORSKIE";"gospodarstwa domowe objęte badaniem";"2008";1951;"gosp.";"";
"Gospodarstwa";0400000;"KUJAWSKO-POMORSKIE";"gospodarstwa domowe objęte badaniem";"2009";1965;"gosp.";"";
"Gospodarstwa";0400000;"KUJAWSKO-POMORSKIE";"gospodarstwa domowe objęte badaniem";"2010";1976;"gosp.";"";
"Gospodarstwa";0400000;"KUJAWSKO-POMORSKIE";"gospodarstwa domowe objęte badaniem";"2011";1961;"gosp.";"";
"Gospodarstwa";0400000;"KUJAWSKO-POMORSKIE";"gospodarstwa domowe objęte badaniem";"2012";1949;"gosp.";"";
"Gospodarstwa";0400000;"KUJAWSKO-POMORSKIE";"gospodarstwa domowe objęte badaniem";"2013";1930;"gosp.";"";
"Gospodarstwa";0400000;"KUJAWSKO-POMORSKIE";"gospodarstwa domowe objęte badaniem";"2014";1946;"gosp.";"";
"Gospodarstwa";0400000;"KUJAWSKO-POMORSKIE";"gospodarstwa domowe objęte badaniem";"2015";1965;"gosp.";"";
"Gospodarstwa";0400000;"KUJAWSKO-POMORSKIE";"gospodarstwa domowe objęte badaniem";"2016";1968;"gosp.";"";
"Gospodarstwa";0400000;"KUJAWSKO-POMORSKIE";"gospodarstwa domowe objęte badaniem";"2017";1961;"gosp.";"";
"Gospodarstwa";0400000;"KUJAWSKO-POMORSKIE";"gospodarstwa domowe objęte badaniem";"2018";1897;"gosp.";"";
"Gospodarstwa";0400000;"KUJAWSKO-POMORSKIE";"gospodarstwa domowe objęte badaniem";"2019";1814;"gosp.";"";
"Gospodarstwa";0400000;"KUJAWSKO-POMORSKIE";"gospodarstwa domowe objęte badaniem";"2020";1607;"gosp.";"";
"Gospodarstwa";0600000;"LUBELSKIE";"gospodarstwa domowe objęte badaniem";"1999";1791;"gosp.";"";
"Gospodarstwa";0600000;"LUBELSKIE";"gospodarstwa domowe objęte badaniem";"2000";2162;"gosp.";"";
"Gospodarstwa";0600000;"LUBELSKIE";"gospodarstwa domowe objęte badaniem";"2001";1912;"gosp.";"";
"Gospodarstwa";0600000;"LUBELSKIE";"gospodarstwa domowe objęte badaniem";"2002";1888;"gosp.";"";
"Gospodarstwa";0600000;"LUBELSKIE";"gospodarstwa domowe objęte badaniem";"2003";1824;"gosp.";"";
"Gospodarstwa";0600000;"LUBELSKIE";"gospodarstwa domowe objęte badaniem";"2004";1812;"gosp.";"";
"Gospodarstwa";0600000;"LUBELSKIE";"gospodarstwa domowe objęte badaniem";"2005";2046;"gosp.";"";
"Gospodarstwa";0600000;"LUBELSKIE";"gospodarstwa domowe objęte badaniem";"2006";2246;"gosp.";"";
"Gospodarstwa";0600000;"LUBELSKIE";"gospodarstwa domowe objęte badaniem";"2007";2232;"gosp.";"";
"Gospodarstwa";0600000;"LUBELSKIE";"gospodarstwa domowe objęte badaniem";"2008";2233;"gosp.";"";
"Gospodarstwa";0600000;"LUBELSKIE";"gospodarstwa domowe objęte badaniem";"2009";2205;"gosp.";"";
"Gospodarstwa";0600000;"LUBELSKIE";"gospodarstwa domowe objęte badaniem";"2010";2186;"gosp.";"";
"Gospodarstwa";0600000;"LUBELSKIE";"gospodarstwa domowe objęte badaniem";"2011";2201;"gosp.";"";
"Gospodarstwa";0600000;"LUBELSKIE";"gospodarstwa domowe objęte badaniem";"2012";2175;"gosp.";"";
"Gospodarstwa";0600000;"LUBELSKIE";"gospodarstwa domowe objęte badaniem";"2013";2078;"gosp.";"";
"Gospodarstwa";0600000;"LUBELSKIE";"gospodarstwa domowe objęte badaniem";"2014";2076;"gosp.";"";
"Gospodarstwa";0600000;"LUBELSKIE";"gospodarstwa domowe objęte badaniem";"2015";2054;"gosp.";"";
"Gospodarstwa";0600000;"LUBELSKIE";"gospodarstwa domowe objęte badaniem";"2016";2062;"gosp.";"";
"Gospodarstwa";0600000;"LUBELSKIE";"gospodarstwa domowe objęte badaniem";"2017";2057;"gosp.";"";
"Gospodarstwa";0600000;"LUBELSKIE";"gospodarstwa domowe objęte badaniem";"2018";2050;"gosp.";"";
"Gospodarstwa";0600000;"LUBELSKIE";"gospodarstwa domowe objęte badaniem";"2019";2028;"gosp.";"";
"Gospodarstwa";0600000;"LUBELSKIE";"gospodarstwa domowe objęte badaniem";"2020";1918;"gosp.";"";
"Gospodarstwa";0800000;"LUBUSKIE";"gospodarstwa domowe objęte badaniem";"1999";889;"gosp.";"";
"Gospodarstwa";0800000;"LUBUSKIE";"gospodarstwa domowe objęte badaniem";"2000";1565;"gosp.";"";
"Gospodarstwa";0800000;"LUBUSKIE";"gospodarstwa domowe objęte badaniem";"2001";872;"gosp.";"";
"Gospodarstwa";0800000;"LUBUSKIE";"gospodarstwa domowe objęte badaniem";"2002";853;"gosp.";"";
"Gospodarstwa";0800000;"LUBUSKIE";"gospodarstwa domowe objęte badaniem";"2003";825;"gosp.";"";
"Gospodarstwa";0800000;"LUBUSKIE";"gospodarstwa domowe objęte badaniem";"2004";826;"gosp.";"";
"Gospodarstwa";0800000;"LUBUSKIE";"gospodarstwa domowe objęte badaniem";"2005";899;"gosp.";"";
"Gospodarstwa";0800000;"LUBUSKIE";"gospodarstwa domowe objęte badaniem";"2006";999;"gosp.";"";
"Gospodarstwa";0800000;"LUBUSKIE";"gospodarstwa domowe objęte badaniem";"2007";1016;"gosp.";"";
"Gospodarstwa";0800000;"LUBUSKIE";"gospodarstwa domowe objęte badaniem";"2008";1011;"gosp.";"";
"Gospodarstwa";0800000;"LUBUSKIE";"gospodarstwa domowe objęte badaniem";"2009";989;"gosp.";"";
"Gospodarstwa";0800000;"LUBUSKIE";"gospodarstwa domowe objęte badaniem";"2010";963;"gosp.";"";
"Gospodarstwa";0800000;"LUBUSKIE";"gospodarstwa domowe objęte badaniem";"2011";960;"gosp.";"";
"Gospodarstwa";0800000;"LUBUSKIE";"gospodarstwa domowe objęte badaniem";"2012";966;"gosp.";"";
"Gospodarstwa";0800000;"LUBUSKIE";"gospodarstwa domowe objęte badaniem";"2013";985;"gosp.";"";
"Gospodarstwa";0800000;"LUBUSKIE";"gospodarstwa domowe objęte badaniem";"2014";1011;"gosp.";"";
"Gospodarstwa";0800000;"LUBUSKIE";"gospodarstwa domowe objęte badaniem";"2015";1005;"gosp.";"";
"Gospodarstwa";0800000;"LUBUSKIE";"gospodarstwa domowe objęte badaniem";"2016";999;"gosp.";"";
"Gospodarstwa";0800000;"LUBUSKIE";"gospodarstwa domowe objęte badaniem";"2017";993;"gosp.";"";
"Gospodarstwa";0800000;"LUBUSKIE";"gospodarstwa domowe objęte badaniem";"2018";977;"gosp.";"";
"Gospodarstwa";0800000;"LUBUSKIE";"gospodarstwa domowe objęte badaniem";"2019";921;"gosp.";"";
"Gospodarstwa";0800000;"LUBUSKIE";"gospodarstwa domowe objęte badaniem";"2020";859;"gosp.";"";
"Gospodarstwa";1000000;"ŁÓDZKIE";"gospodarstwa domowe objęte badaniem";"1999";2665;"gosp.";"";
"Gospodarstwa";1000000;"ŁÓDZKIE";"gospodarstwa domowe objęte badaniem";"2000";2595;"gosp.";"";
"Gospodarstwa";1000000;"ŁÓDZKIE";"gospodarstwa domowe objęte badaniem";"2001";2475;"gosp.";"";
"Gospodarstwa";1000000;"ŁÓDZKIE";"gospodarstwa domowe objęte badaniem";"2002";2498;"gosp.";"";
"Gospodarstwa";1000000;"ŁÓDZKIE";"gospodarstwa domowe objęte badaniem";"2003";2476;"gosp.";"";
"Gospodarstwa";1000000;"ŁÓDZKIE";"gospodarstwa domowe objęte badaniem";"2004";2447;"gosp.";"";
"Gospodarstwa";1000000;"ŁÓDZKIE";"gospodarstwa domowe objęte badaniem";"2005";2572;"gosp.";"";
"Gospodarstwa";1000000;"ŁÓDZKIE";"gospodarstwa domowe objęte badaniem";"2006";2706;"gosp.";"";
"Gospodarstwa";1000000;"ŁÓDZKIE";"gospodarstwa domowe objęte badaniem";"2007";2723;"gosp.";"";
"Gospodarstwa";1000000;"ŁÓDZKIE";"gospodarstwa domowe objęte badaniem";"2008";2744;"gosp.";"";
"Gospodarstwa";1000000;"ŁÓDZKIE";"gospodarstwa domowe objęte badaniem";"2009";2735;"gosp.";"";
"Gospodarstwa";1000000;"ŁÓDZKIE";"gospodarstwa domowe objęte badaniem";"2010";2680;"gosp.";"";
"Gospodarstwa";1000000;"ŁÓDZKIE";"gospodarstwa domowe objęte badaniem";"2011";2639;"gosp.";"";
"Gospodarstwa";1000000;"ŁÓDZKIE";"gospodarstwa domowe objęte badaniem";"2012";2611;"gosp.";"";
"Gospodarstwa";1000000;"ŁÓDZKIE";"gospodarstwa domowe objęte badaniem";"2013";2578;"gosp.";"";
"Gospodarstwa";1000000;"ŁÓDZKIE";"gospodarstwa domowe objęte badaniem";"2014";2531;"gosp.";"";
"Gospodarstwa";1000000;"ŁÓDZKIE";"gospodarstwa domowe objęte badaniem";"2015";2532;"gosp.";"";
"Gospodarstwa";1000000;"ŁÓDZKIE";"gospodarstwa domowe objęte badaniem";"2016";2515;"gosp.";"";
"Gospodarstwa";1000000;"ŁÓDZKIE";"gospodarstwa domowe objęte badaniem";"2017";2486;"gosp.";"";
"Gospodarstwa";1000000;"ŁÓDZKIE";"gospodarstwa domowe objęte badaniem";"2018";2467;"gosp.";"";
"Gospodarstwa";1000000;"ŁÓDZKIE";"gospodarstwa domowe objęte badaniem";"2019";2371;"gosp.";"";
"Gospodarstwa";1000000;"ŁÓDZKIE";"gospodarstwa domowe objęte badaniem";"2020";2091;"gosp.";"";
"Gospodarstwa";1200000;"MAŁOPOLSKIE";"gospodarstwa domowe objęte badaniem";"1999";2307;"gosp.";"";
"Gospodarstwa";1200000;"MAŁOPOLSKIE";"gospodarstwa domowe objęte badaniem";"2000";2365;"gosp.";"";
"Gospodarstwa";1200000;"MAŁOPOLSKIE";"gospodarstwa domowe objęte badaniem";"2001";2495;"gosp.";"";
"Gospodarstwa";1200000;"MAŁOPOLSKIE";"gospodarstwa domowe objęte badaniem";"2002";2521;"gosp.";"";
"Gospodarstwa";1200000;"MAŁOPOLSKIE";"gospodarstwa domowe objęte badaniem";"2003";2547;"gosp.";"";
"Gospodarstwa";1200000;"MAŁOPOLSKIE";"gospodarstwa domowe objęte badaniem";"2004";2495;"gosp.";"";
"Gospodarstwa";1200000;"MAŁOPOLSKIE";"gospodarstwa domowe objęte badaniem";"2005";2781;"gosp.";"";
"Gospodarstwa";1200000;"MAŁOPOLSKIE";"gospodarstwa domowe objęte badaniem";"2006";3070;"gosp.";"";
"Gospodarstwa";1200000;"MAŁOPOLSKIE";"gospodarstwa domowe objęte badaniem";"2007";3059;"gosp.";"";
"Gospodarstwa";1200000;"MAŁOPOLSKIE";"gospodarstwa domowe objęte badaniem";"2008";3042;"gosp.";"";
"Gospodarstwa";1200000;"MAŁOPOLSKIE";"gospodarstwa domowe objęte badaniem";"2009";3104;"gosp.";"";
"Gospodarstwa";1200000;"MAŁOPOLSKIE";"gospodarstwa domowe objęte badaniem";"2010";3181;"gosp.";"";
"Gospodarstwa";1200000;"MAŁOPOLSKIE";"gospodarstwa domowe objęte badaniem";"2011";3171;"gosp.";"";
"Gospodarstwa";1200000;"MAŁOPOLSKIE";"gospodarstwa domowe objęte badaniem";"2012";3124;"gosp.";"";
"Gospodarstwa";1200000;"MAŁOPOLSKIE";"gospodarstwa domowe objęte badaniem";"2013";3094;"gosp.";"";
"Gospodarstwa";1200000;"MAŁOPOLSKIE";"gospodarstwa domowe objęte badaniem";"2014";3097;"gosp.";"";
"Gospodarstwa";1200000;"MAŁOPOLSKIE";"gospodarstwa domowe objęte badaniem";"2015";3134;"gosp.";"";
"Gospodarstwa";1200000;"MAŁOPOLSKIE";"gospodarstwa domowe objęte badaniem";"2016";3117;"gosp.";"";
"Gospodarstwa";1200000;"MAŁOPOLSKIE";"gospodarstwa domowe objęte badaniem";"2017";3086;"gosp.";"";
"Gospodarstwa";1200000;"MAŁOPOLSKIE";"gospodarstwa domowe objęte badaniem";"2018";3098;"gosp.";"";
"Gospodarstwa";1200000;"MAŁOPOLSKIE";"gospodarstwa domowe objęte badaniem";"2019";3174;"gosp.";"";
"Gospodarstwa";1200000;"MAŁOPOLSKIE";"gospodarstwa domowe objęte badaniem";"2020";2980;"gosp.";"";
"Gospodarstwa";1400000;"MAZOWIECKIE";"gospodarstwa domowe objęte badaniem";"1999";4059;"gosp.";"";
"Gospodarstwa";1400000;"MAZOWIECKIE";"gospodarstwa domowe objęte badaniem";"2000";3939;"gosp.";"";
"Gospodarstwa";1400000;"MAZOWIECKIE";"gospodarstwa domowe objęte badaniem";"2001";4191;"gosp.";"";
"Gospodarstwa";1400000;"MAZOWIECKIE";"gospodarstwa domowe objęte badaniem";"2002";4288;"gosp.";"";
"Gospodarstwa";1400000;"MAZOWIECKIE";"gospodarstwa domowe objęte badaniem";"2003";4502;"gosp.";"";
"Gospodarstwa";1400000;"MAZOWIECKIE";"gospodarstwa domowe objęte badaniem";"2004";4478;"gosp.";"";
"Gospodarstwa";1400000;"MAZOWIECKIE";"gospodarstwa domowe objęte badaniem";"2005";4684;"gosp.";"";
"Gospodarstwa";1400000;"MAZOWIECKIE";"gospodarstwa domowe objęte badaniem";"2006";5180;"gosp.";"";
"Gospodarstwa";1400000;"MAZOWIECKIE";"gospodarstwa domowe objęte badaniem";"2007";5210;"gosp.";"";
"Gospodarstwa";1400000;"MAZOWIECKIE";"gospodarstwa domowe objęte badaniem";"2008";5299;"gosp.";"";
"Gospodarstwa";1400000;"MAZOWIECKIE";"gospodarstwa domowe objęte badaniem";"2009";5366;"gosp.";"";
"Gospodarstwa";1400000;"MAZOWIECKIE";"gospodarstwa domowe objęte badaniem";"2010";5388;"gosp.";"";
"Gospodarstwa";1400000;"MAZOWIECKIE";"gospodarstwa domowe objęte badaniem";"2011";5407;"gosp.";"";
"Gospodarstwa";1400000;"MAZOWIECKIE";"gospodarstwa domowe objęte badaniem";"2012";5530;"gosp.";"";
"Gospodarstwa";1400000;"MAZOWIECKIE";"gospodarstwa domowe objęte badaniem";"2013";5512;"gosp.";"";
"Gospodarstwa";1400000;"MAZOWIECKIE";"gospodarstwa domowe objęte badaniem";"2014";5610;"gosp.";"";
"Gospodarstwa";1400000;"MAZOWIECKIE";"gospodarstwa domowe objęte badaniem";"2015";5612;"gosp.";"";
"Gospodarstwa";1400000;"MAZOWIECKIE";"gospodarstwa domowe objęte badaniem";"2016";5535;"gosp.";"";
"Gospodarstwa";1400000;"MAZOWIECKIE";"gospodarstwa domowe objęte badaniem";"2017";5442;"gosp.";"";
"Gospodarstwa";1400000;"MAZOWIECKIE";"gospodarstwa domowe objęte badaniem";"2018";5352;"gosp.";"";
"Gospodarstwa";1400000;"MAZOWIECKIE";"gospodarstwa domowe objęte badaniem";"2019";5488;"gosp.";"";
"Gospodarstwa";1400000;"MAZOWIECKIE";"gospodarstwa domowe objęte badaniem";"2020";5158;"gosp.";"";
"Gospodarstwa";1600000;"OPOLSKIE";"gospodarstwa domowe objęte badaniem";"1999";838;"gosp.";"";
"Gospodarstwa";1600000;"OPOLSKIE";"gospodarstwa domowe objęte badaniem";"2000";1559;"gosp.";"";
"Gospodarstwa";1600000;"OPOLSKIE";"gospodarstwa domowe objęte badaniem";"2001";916;"gosp.";"";
"Gospodarstwa";1600000;"OPOLSKIE";"gospodarstwa domowe objęte badaniem";"2002";914;"gosp.";"";
"Gospodarstwa";1600000;"OPOLSKIE";"gospodarstwa domowe objęte badaniem";"2003";915;"gosp.";"";
"Gospodarstwa";1600000;"OPOLSKIE";"gospodarstwa domowe objęte badaniem";"2004";912;"gosp.";"";
"Gospodarstwa";1600000;"OPOLSKIE";"gospodarstwa domowe objęte badaniem";"2005";990;"gosp.";"";
"Gospodarstwa";1600000;"OPOLSKIE";"gospodarstwa domowe objęte badaniem";"2006";1056;"gosp.";"";
"Gospodarstwa";1600000;"OPOLSKIE";"gospodarstwa domowe objęte badaniem";"2007";1058;"gosp.";"";
"Gospodarstwa";1600000;"OPOLSKIE";"gospodarstwa domowe objęte badaniem";"2008";1046;"gosp.";"";
"Gospodarstwa";1600000;"OPOLSKIE";"gospodarstwa domowe objęte badaniem";"2009";1017;"gosp.";"";
"Gospodarstwa";1600000;"OPOLSKIE";"gospodarstwa domowe objęte badaniem";"2010";966;"gosp.";"";
"Gospodarstwa";1600000;"OPOLSKIE";"gospodarstwa domowe objęte badaniem";"2011";997;"gosp.";"";
"Gospodarstwa";1600000;"OPOLSKIE";"gospodarstwa domowe objęte badaniem";"2012";1016;"gosp.";"";
"Gospodarstwa";1600000;"OPOLSKIE";"gospodarstwa domowe objęte badaniem";"2013";1014;"gosp.";"";
"Gospodarstwa";1600000;"OPOLSKIE";"gospodarstwa domowe objęte badaniem";"2014";1013;"gosp.";"";
"Gospodarstwa";1600000;"OPOLSKIE";"gospodarstwa domowe objęte badaniem";"2015";1005;"gosp.";"";
"Gospodarstwa";1600000;"OPOLSKIE";"gospodarstwa domowe objęte badaniem";"2016";973;"gosp.";"";
"Gospodarstwa";1600000;"OPOLSKIE";"gospodarstwa domowe objęte badaniem";"2017";930;"gosp.";"";
"Gospodarstwa";1600000;"OPOLSKIE";"gospodarstwa domowe objęte badaniem";"2018";918;"gosp.";"";
"Gospodarstwa";1600000;"OPOLSKIE";"gospodarstwa domowe objęte badaniem";"2019";957;"gosp.";"";
"Gospodarstwa";1600000;"OPOLSKIE";"gospodarstwa domowe objęte badaniem";"2020";936;"gosp.";"";
"Gospodarstwa";1800000;"PODKARPACKIE";"gospodarstwa domowe objęte badaniem";"1999";1592;"gosp.";"";
"Gospodarstwa";1800000;"PODKARPACKIE";"gospodarstwa domowe objęte badaniem";"2000";2077;"gosp.";"";
"Gospodarstwa";1800000;"PODKARPACKIE";"gospodarstwa domowe objęte badaniem";"2001";1546;"gosp.";"";
"Gospodarstwa";1800000;"PODKARPACKIE";"gospodarstwa domowe objęte badaniem";"2002";1558;"gosp.";"";
"Gospodarstwa";1800000;"PODKARPACKIE";"gospodarstwa domowe objęte badaniem";"2003";1530;"gosp.";"";
"Gospodarstwa";1800000;"PODKARPACKIE";"gospodarstwa domowe objęte badaniem";"2004";1541;"gosp.";"";
"Gospodarstwa";1800000;"PODKARPACKIE";"gospodarstwa domowe objęte badaniem";"2005";1773;"gosp.";"";
"Gospodarstwa";1800000;"PODKARPACKIE";"gospodarstwa domowe objęte badaniem";"2006";1988;"gosp.";"";
"Gospodarstwa";1800000;"PODKARPACKIE";"gospodarstwa domowe objęte badaniem";"2007";1984;"gosp.";"";
"Gospodarstwa";1800000;"PODKARPACKIE";"gospodarstwa domowe objęte badaniem";"2008";1955;"gosp.";"";
"Gospodarstwa";1800000;"PODKARPACKIE";"gospodarstwa domowe objęte badaniem";"2009";1932;"gosp.";"";
"Gospodarstwa";1800000;"PODKARPACKIE";"gospodarstwa domowe objęte badaniem";"2010";1956;"gosp.";"";
"Gospodarstwa";1800000;"PODKARPACKIE";"gospodarstwa domowe objęte badaniem";"2011";1984;"gosp.";"";
"Gospodarstwa";1800000;"PODKARPACKIE";"gospodarstwa domowe objęte badaniem";"2012";1927;"gosp.";"";
"Gospodarstwa";1800000;"PODKARPACKIE";"gospodarstwa domowe objęte badaniem";"2013";1871;"gosp.";"";
"Gospodarstwa";1800000;"PODKARPACKIE";"gospodarstwa domowe objęte badaniem";"2014";1870;"gosp.";"";
"Gospodarstwa";1800000;"PODKARPACKIE";"gospodarstwa domowe objęte badaniem";"2015";1865;"gosp.";"";
"Gospodarstwa";1800000;"PODKARPACKIE";"gospodarstwa domowe objęte badaniem";"2016";1878;"gosp.";"";
"Gospodarstwa";1800000;"PODKARPACKIE";"gospodarstwa domowe objęte badaniem";"2017";1907;"gosp.";"";
"Gospodarstwa";1800000;"PODKARPACKIE";"gospodarstwa domowe objęte badaniem";"2018";1896;"gosp.";"";
"Gospodarstwa";1800000;"PODKARPACKIE";"gospodarstwa domowe objęte badaniem";"2019";1842;"gosp.";"";
"Gospodarstwa";1800000;"PODKARPACKIE";"gospodarstwa domowe objęte badaniem";"2020";1722;"gosp.";"";
"Gospodarstwa";2000000;"PODLASKIE";"gospodarstwa domowe objęte badaniem";"1999";883;"gosp.";"";
"Gospodarstwa";2000000;"PODLASKIE";"gospodarstwa domowe objęte badaniem";"2000";1624;"gosp.";"";
"Gospodarstwa";2000000;"PODLASKIE";"gospodarstwa domowe objęte badaniem";"2001";1038;"gosp.";"";
"Gospodarstwa";2000000;"PODLASKIE";"gospodarstwa domowe objęte badaniem";"2002";1064;"gosp.";"";
"Gospodarstwa";2000000;"PODLASKIE";"gospodarstwa domowe objęte badaniem";"2003";1039;"gosp.";"";
"Gospodarstwa";2000000;"PODLASKIE";"gospodarstwa domowe objęte badaniem";"2004";1007;"gosp.";"";
"Gospodarstwa";2000000;"PODLASKIE";"gospodarstwa domowe objęte badaniem";"2005";1102;"gosp.";"";
"Gospodarstwa";2000000;"PODLASKIE";"gospodarstwa domowe objęte badaniem";"2006";1210;"gosp.";"";
